serial	token_full_name	token	description	price-usd	price_change_percentage	volume_24h_usd	circulating_market_cap_usd	onchain_market_cap_usd	holders
39	Fantom (FTM)	FTM	Fantom is a directed acyclic graph (DAG) smart contract platform providing decentralized finance (DeFi) services to developers using its own bespoke consensus algorithm.	0.24	0.000014	78218655	617417170	9990259	76055
40	Binance-Peg Maker (MKR)	MKR	Maker is a Decentralized Autonomous Organization that creates and insures the dai stablecoin on the Ethereum blockchain	620.24	0.036032	14066474	606362985	3101185	4033
41	MIOTAC (IOTA)	IOTA	"IOTA is a distributed ledger with its proprietary technology known as Tangle, a system of nodes that confirm transactions. It aims to offer greater speeds than conventional blockchains and an ideal footprint for the ever-expanding Internet of Things ecosystem."	0.21	0.000012	9391268	583561785	5438692	21653
42	Binance-Peg PAX Gold (PAXG)	PAXG	"PAX Gold (PAXG) tokens each represent one fine troy ounce of an LBMA-certified, London Good Delivery physical gold bar, secured in Brink’s vaults."	1791.21	0.104057	8595086	582518386	537364	2
43	Binance-Peg eCash Token (XEC)	XEC	"eCash is the natural continuation of the Bitcoin Cash project. eCash follows through on key promises such as the innovative Avalanche consensus layer while also introducing concepts such as staking, fork-free network upgrades, and subchains."	0	0	4010857	574648829	1103985	7300
44	Frax Share (FXS)	FXS	"FXS is the value accrual and governance token of the entire Frax ecosystem. Frax is a fractional-algorithmic stablecoin protocol. It aims to provide highly scalable, decentralized, algorithmic money in place of fixed-supply assets like BTC."	6.2	0.00036	4236621	447026598	516367	717
45	Zilliqa (ZIL)	ZIL	Zilliqa (ZIL) is a public blockchain built on a sharded architecture. It has solved blockchain scalability and speed by implementing sharding.	0.02	0.000001	15278071	380411510	3318082	37679
46	1INCH Token (1INCH)	1INCH	1inch is a decentralized exchange aggregator that sources liquidity from various exchanges and is capable of splitting a single trade transaction across multiple DEXs. Smart contract technology empowers this aggregator enabling users to optimize and customize their trades.	0.45	0.000026	15579661	342245569	11214000	99365
47	Binance-Peg Basic Attention Token (BAT)	BAT	The Basic Attention Token is the new token for the digital advertising industry.	0.23	0.000013	22211911	340598602	5708020	22832
8	Binance-Peg Dogecoin Token (DOGE)	DOGE	"Dogecoin (DOGE) is based on the popular ""doge"" Internet meme and features a Shiba Inu on its logo. Dogecoin's creators envisaged it as a fun, light-hearted cryptocurrency. that would have greater appeal beyond the core Bitcoin audience, since it was based on a dog meme."	0.1	0.000006		279719339	12909099485	139141524
48	Binance-Peg Compound Coin (COMP)	COMP	"Compound (COMP) is an ERC-20 asset that powers the community governance of the Compound protocol; COMP token-holders and their delegates debate, propose, and vote on changes to the protocol."	40.06	0.002327	15907675	274662173	2003000	12950
49	Green Metaverse Token (GMT)	GMT	"STEPN is a “Web3 lifestyle app” with GameFi elements on the Solana blockchain. It combines aspects of a play-to-earn game with a fitness app to create a new category coined “move-to-earn.” Users buy NFT sneakers, which they can use to earn in-game currency while walking, running, or jogging."	0.4	0.000023	32621345	242508657	18006799	91503
50	Wrapped USTC Token (USTC)	USTC		0.02	0.000001	10205199	225838207	2200707	82266
51	Binance-Peg IoTeX Network (IOTX)	IOTX	"Building the Internet of Trusted Things  Blockchain, IoT, & Privacy."	0.02	0.000001	3017769	224044187	9557489	37102
52	Binance-Peg yearn.finance (YFI)	YFI	"Yearn.finance is an aggregator service for decentralized finance (DeFi) investors, using automation to allow them to maximize profits from yield farming."	6955.77	0.404082	12256386	217146747	6260193	7365
53	Ankr (ANKR)	ANKR	Web3 Infrastructure for All	0.02	0.000001	14472035	206453915	213656282	39220
54	JUST (JST)	JST	JUST is a (DeFi) ecosystem built for the TRON blockchain. It is an entire suite of products that are mostly centered around a decentralized stablecoin lending platform known as JustStable.	0.02	0.000001	36382600	204888092	575398	880
55	pTokens GALA (GALA)	GALA	"Gala Games is dedicated to decentralizing the multi-billion dollar gaming industry by giving players access to their in-game items. Coming from the Co-founder of Zynga and some of the creative minds behind Farmville 2, Gala Games aims to revolutionize gaming."	0.03	0.000001	44814801	194498681	1447150035	74643
56	Venus BTC (vBTC)	vBTC	Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.	870.45	0.050567	0	179170589	556858459	10362
57	Baby Doge Coin (BabyDoge)	BabyDoge	"BabyDoge has learned a few tricks and lessons from his meme father, Doge. He is Hyper-deflationary with a smart staking system built-in. Simply hold while every network transaction in the ecosystem has a 5% fee that is redistributed to the holders."	0	0	1764752	177217925	462000000	1646251
58	Binance-Peg Ontology Token (ONT)	ONT	Ontology is a new high-performance public blockchain project & a distributed trust collaboration platform that include a series of complete distributed ledgers and smart contract systems.	0.19	0.000011	20093760	162920453	3518079	12576
59	SafePal Token (SFP)	SFP	SafePal is a cryptocurrency wallet that helps users to protect and grow their decentralized assets.	0.47	0.000027	8565754	152875933	235627240	156467
60	SafeMoon (SFM)	SFM	Safemoon protocol aims to create a self-regenerating automatic liquidity providing protocol that would pay out static rewards to holders and penalize sellers.	0	0	362116	135593785	242070000	701408
61	Binance-Peg APENFT Token (NFT)	NFT	"APENFT was born with the mission to register world-class artworks as NFTs on blockchain.
It aims to build a bridge between top-notch artists and blockchain, and to support the growth of native crypto NFT artists."	0	0	13143156	130697654	1992371	181647
62	APENFT (NFT)	NFT	"APENFT Fund was born with the mission to register world-class artworks as NFTs on blockchain and aim to be the ARK Funds in the NFT space to build a bridge between top-notch artists and blockchain, and to support the growth of native crypto NFT artists. Mapped from TRON network."	0	0	13597576	130621934	267082	11626
63	Swipe (SXP)	SXP	Swipe is a cryptocurrency wallet and debit card that enables users to spend their cryptocurrencies over the world.	0.25	0.000014	4599191	126224476	72259538	57140
64	Binance-Peg Kyber Network Crystal Token (KNC)	KNC	"Kyber is a blockchain-based liquidity protocol that aggregates liquidity from a wide range of reserves, powering instant and secure token exchange in any decentralized application."	0.64	0.000037	8666335	104813536	3109068	4648
65	Venus USDC (vUSDC)	vUSDC	Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.	0.02	0.000001	6687241	103764572	91214143	4644
66	Binance-Peg Smooth Love Potion (SLP)	SLP	Smooth Love Potions (SLP) is a ERC-20 token that is fully tradable.	0	0	6168147	102691966	5370301	32849
67	Prometeus (PROM)	PROM	"Prom is a unified access point to the NFT gaming and metaverse industries that includes an NFT marketplace and aggregator, non-collateralized NFT rental and mortgage, an educational portal and analytic tools, an NFT Launchpad, and DEX for GameFi assets."	5.35	0.000311	5275261	87973269	106958381	4716
68	FLOKI (FLOKI)	FLOKI	The Floki Inu protocol is a cross-chain community-driven token available on two blockchains: Ethereum (ETH) and Binance Smart Chain (BSC).	0	0	1250570	87719661	94200000	356187
69	Synapse (SYN)	SYN	Synapse is a cross-chain layer ∞ protocol powering interoperability between blockchains.	0.62	0.000036	520074	86828262	32322751	3357
70	MDX Token (MDX)	MDX	"MDEX integrates the advantages of multiple chains to create a high-performance composite DEX ecosystem, to maximize the rewards of participants with the ""dual mining incentives"" of liquid mining and transaction mining."	0.09	0.000005	3269031	82734784	29721294	61238
71	Binance-Peg Cartesi Token (CTSI)	CTSI	Cartesi takes smart contracts to the next level by implementing a variant of optimistic roll-ups. Cartesi is revolutionizing smart contracts by allowing developers to code with mainstream software stacks. Noether is Cartesi's high-performance and low cost data availability side-chain.	0.13	0.000007	20509930	82169036	1265700	6476
72	Binance-Peg COTI Token (COTI)	COTI	"COTI is an enterprise-grade fintech platform that enables cross-chain interoperability and is built on its own DAG-based chain. It supports extreme scalability, low transaction costs and is supplemented with payment-specific requirements in the form of COTI Pay, a holistic digital payment solution."	0.07	0.000004	12013722	80105888	1445080	9768
73	ALICE (ALICE)	ALICE	"My Neighbor Alice is a multiplayer builder game, where anyone can buy and own virtual islands, collect and build exciting items and meet new friends. The game combines a fun narrative for regular players and an ecosystem for players who want to collect and trade Non-Fungible Tokens (NFTs)."	1.32	0.000077	9436460	78765288	10560000	53438
74	wazirx token (WRX)	WRX	"WazirX is a India's cryptocurrency exchange with trading interface and features to buy, sell and trade cryptocurrencies."	0.17	0.00001	3836139	77281203	2626630	8911
75	Anyswap-BEP20 (ANY)	ANY	"Anyswap is a fully decentralized cross chain swap protocol, with automated pricing and liquidity system."	4.11	0.000239	5828	76553857	16992319	170022
76	Orbs (ORBS)	ORBS	"Orbs is a public blockchain built for the needs of apps with millions of users, from SLAs to adjustable fee models to on-demand capacity."	0.03	0.000001	1190757	75013949	313629	1774
77	Biswap (BSW)	BSW	"BSW is a deflationary token aims to incentivize the liquidity provision to the Biswap platform. BSW tokens are burned by sending them to the burn address and a total of 6,292,523 has been burned from the original supply of 117,403,378 as of Sep 24, 2021."	0.21	0.000012	8386454	74848717	95463126	146315
78	Binance-Peg Band Protocol Token (BAND)	BAND	Band Protocol is a cross-chain data oracle platform that aggregates and connects real-world data and APIs to smart contracts.	2.05	0.000119	16771509	72238584	6568670	10092
79	Binance-Peg Celer Token (CELR)	CELR	"Celer Network is offering layer-2 scaling platform. It brings interactive, secure and low-cost applications to every blockchain."	0.01	0.000001	6750655	71608355	3176383	24826
80	Binance-Peg Phala Network Token (PHA)	PHA	"Phala Network is a privacy-preserving cloud computing service, which offers computing power comparable to existing cloud services and protects the privacy of managed programs."	0.15	0.000009	29947027	70449106	1224224	8928
81	Binance-Peg ELF Token (ELF)	ELF	aelf is an innovative open-source blockchain network designed as a complete business solution. The structure of ‘one main chain + multiple side chains’ allows developers to independently deploy or run DApps (Distributed Applications) on individual side chains to achieve effective resource isolation.	0.13	0.000008	12850703	68775861	526573	1153
82	AlphaToken (ALPHA)	ALPHA	Alpha Finance Lab is an ecosystem of DeFi products and focused on building an ecosystem of automated yield-maximizing Alpha products that interoperate to bring optimal alpha to users on a cross-chain level.	0.09	0.000005	2808986	67281890	89709187	18768
83	Binance-Peg Bancor Network Token (BNT)	BNT	Bancor is an on-chain liquidity protocol that enables constant convertibility between tokens. Conversions using Bancor are executed against on-chain liquidity pools using automated market makers to price and process transactions without order books or counterparties.	0.38	0.000022	5762996	64171147	750121	1072
84	Reef.finance (REEF)	REEF	Reef Finance is a multi-chain smart yield engine and liquidity aggregator for any DeFi protocol to integrate with.	0	0	16620237	63983125	35733900	102061
85	CertiK Token (CTK)	CTK	"CertiK provides security infrastructure for the blockchain. It features various projects - CertiK security oracle, CertiK shield and CertiK Chain."	0.76	0.000044	6658088	61210685	6903178	16437
86	Binance-Peg YFII.finance Token (YFII)	YFII	"DFI.Money (YFII) is a DeFi platform which aims to build products on aggregated liquidity provision, leveraged trading, automated marketing making."	1519.49	0.088272	27799215	58646262	4102625	1938
87	Venus BUSD (vBUSD)	vBUSD	Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.	0.02	0.000001	4039921	58625471	178189766	10895
88	BSC Conflux (bCFX)	bCFX	"Conflux is a public, permissionless blockchain bridging Asian and Western communities and economies, to enable the secure flow of assets and data across borders, protocols and applications."	0.03	0.000002	1543255	57504634	19014394	11018
89	VAI Stablecoin (VAI)	VAI	Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.	0.98	0.000057	519	56242524	20138925	13681
90	Alien Worlds Trilium (TLM)	TLM	"Alien Worlds is a NFT blockchain game in the world with over 4,000 unique users per hour.
First-generation collectible-only NFTs were “dead” but Alien Worlds’ NFTs come to life with their gaming utility."	0.02	0.000001	5325667	52157678	29128918	97529
91	Venus (XVS)	XVS	Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.	4.24	0.000246	1413012	51629560	127265417	54788
92	DODO bird (DODO)	DODO	"DODO is a on-chain liquidity provider, which leverages the Proactive Market Maker algorithm (PMM) to provide pure on-chain and contract-fillable liquidity."	0.12	0.000007	4396615	51395084	4059895	40964
93	Coin98 (C98)	C98	"Coin98 enables value transfer as easily as using the Internet by the innovation of Multi-chain Engine, Fully Automatic Liquidity and Space Gate, all in one Super Liquidity Aggregator."	0.23	0.000014	12304430	50712183	33634969	55244
94	SAITO (SAITO)	SAITO	"Saito is an open network layer that delivers web3 to users. Applications on Saito can run without closed plugins, private APIs and non-open infrastructure."	0.02	0.000001	731770	44410555	5270823	8777
95	pTokens TLOS (TLOS)	TLOS	pNetwork enables cross-chain movement of assets and data.	0.15	0.000009	1360652	43962972	2365552	9836
96	Unidef (U)	U	"U protocol is a utility token that was created with the aim of being the primary currency for the decentralized web economy. Alongside being a token for governance with voting capacity, U will also be used for payments, transactions, and social interactions in our global networks."	0	0	143933	41861500	240678900	48367
97	AlpacaToken (ALPACA)	ALPACA	Alpaca Finance is the first leveraged yield farming protocol on Binance Smart Chain. It will be integrated with PancakeSwap and allow users to open leveraged yield farming positions by borrowing assets from vaults.	0.27	0.000016	1767402	41173042	48869536	75074
98	StandardBTCHashrateToken (BTCST)	BTCST	Bitcoin Standard Hashrate Token (BTCST) brings exchange-grade liquidity to Bitcoin mining. Each BTCST is collateralized by real Bitcoin mining power.	5.27	0.000306	2167527	38417055	79050000	18443
99	Automata (ATA)	ATA	"Automata is a privacy middleware layer for dApps across multiple blockchains, built on a decentralized service protocol."	0.11	0.000007	4558481	37645319	9153440	20629
100	PolkastarterToken (POLS)	POLS	"Polkastarter is a DEX built for cross-chain token sales and auctions, enabling projects to raise capital on a decentralised and interoperable environment based on Polkadot."	0.38	0.000022	1181488	37368275	9366926	18027
101	Wetux (WETUX)	WETUX	WETUX allows to put your idle crypto-asset to work towards enhancing the neo-economy’s open liquidity.	0.02	0.000001		658927		13940154
102	Wetux (WETUX)	WETUX	WETUX allows to put your idle crypto-asset to work towards enhancing the neo-economy’s open liquidity.	0.02	0.000001		658927		13940154
103	LunaGens (LUNG)	LUNG	LunaGens is a multi-chains Defi focus project. LunaGens goals are to make the crypto space safer for investors and to help educate people about the pros and cons of cryptocurrency. LunaGens also stride to explore the road of building its own blockchain to support the ecosystem and utilities.	0	0		571545		1590820
103	LunaGens (LUNG)	LUNG	LunaGens is a multi-chains Defi focus project. LunaGens goals are to make the crypto space safer for investors and to help educate people about the pros and cons of cryptocurrency. LunaGens also stride to explore the road of building its own blockchain to support the ecosystem and utilities.	0	0		565878		1575790
104	Pylon Eco Token (PETN)	PETN	"Pylon Eco is a DeFi, governance and deflationary open source ecosystem-based project. It claims to features buyback guarantee of all ICO tokens and aims for daily used in plenty of ecosystems to bring mass crypto adoption. It provides staking reward and is backed by guarantee portfolio."	0.38	0.000022		203990		37307635
105	Adonis (ADON)	ADON	"Adonis network is a cryptocurrency launchpad which has a complete blockchain structure that includes Coin, Token, Metavers, Web3.0, Gaming Platform, Defi, NFT and Exchang. Actually it's a multi-chain fundraising platform enabling projects to raise capital and promise safety to early stage investors."	0.08	0.000005		5649		812170000
106	Adonis (ADON)	ADON	"Adonis network is a cryptocurrency launchpad which has a complete blockchain structure that includes Coin, Token, Metavers, Web3.0, Gaming Platform, Defi, NFT and Exchang. Actually it's a multi-chain fundraising platform enabling projects to raise capital and promise safety to early stage investors."	0.08	0.000005		5649		812170000
107	Metegg DeFi (MDEFI)	MDEFI	"Metaegg working on web3 through art, gaming, entertainment, and DeFi. MEGG is a token made to support what’s next, controlled, and built on by the community. It will serve as a decentralized protocol layer for community-led initiatives that drive culture forward into the metaverse, gaming & DeFi."	0	0		1313		26636
108	OKEYCOIN (OKEY)	OKEY	"OKEYVERSE is a project with several subprojects focused on developing de-fi, web3 social media, and play-to-earn games on a single platform. The OKEYVERSE project is unique because it has an underlying real asset, which is co-working space."	0	0		1158		676100
109	OKEYCOIN (OKEY)	OKEY	"OKEYVERSE is a project with several subprojects focused on developing de-fi, web3 social media, and play-to-earn games on a single platform. The OKEYVERSE project is unique because it has an underlying real asset, which is co-working space."	0	0		1122		675100
110	JetSwap Token (WINGS)	WINGS	WINGS is the governance and reward token for Jetswap. It is an innovative AMM (automated market maker) in the Jetfuel Ecosystem.	0	0		496		151110
111	Inescoin (INES)	INES	"Inescoin is the cryptocurrency which allows user to create their domain name and website in the blockchain, with end-to-end encrypted messaging through your wallet address."	0	0		330		63
112	OREO (ORE)	ORE	"Oreo will incentivize Defi creation and financial diversity and return the rights and value to its users.
Oreo aims to build public protocol that carries yield farming value."	0	0		301		3000
113	Cryptonits (CRT)	CRT	"Cryptonits CRT is owned and operated by CRYPTONITS LTD. CRT may be stored, moved from one digital wallet to another, or converted into other digital currencies. The cryptocurrency is based on BEP20."	0	0		225		70732
114	Cryptonits (CRT)	CRT	"Cryptonits CRT is owned and operated by CRYPTONITS LTD. CRT may be stored, moved from one digital wallet to another, or converted into other digital currencies. The cryptocurrency is based on BEP20."	0	0		225		70732
115	Extended Guapcoin (xGUAP)	xGUAP	xGUAP is a wrapped token pegged to the decentralized cryptocurrency Guapcoin ( www.guapcoin.org ). xGUAP tokens are minted when Guapcoin is sent to the wrapped contract. xGUAP can be converted to GUAP at any time and used within the Guapcoin ecosystem ( and vice versa ).	0.01	0.000001		161		1280
116	ENERGY COIN (ENG)	ENG	The Energy Token (ENG) is a cryptocurrency belonging to the Energy Web Foundation (ENG). The Energy Web Foundation is an organization dedicated to building open-source operating systems for energy grids that can help in powering a zero-carbon economy.	0	0		154		67363
117	808TA (808TA)	808TA	"808 Exchange offers great staking & dividend rewards for 808TA Token holders, as well as market trading & swap options. 808 Exchange is user friendly and is constantly updating and upgrading to meet the upcoming demands of crypto space."	0	0		130		917700
118	Pasta Token (PASTA)	PASTA	Pasta finance is a fork of goose finance and offer yield farming protocol.	0	0		109		38501
119	ENERGY COIN (ENG)	ENG	The Energy Token (ENG) is a cryptocurrency belonging to the Energy Web Foundation (ENG). The Energy Web Foundation is an organization dedicated to building open-source operating systems for energy grids that can help in powering a zero-carbon economy.	0	0		82		57075
120	DEFI 100 (D100)	D100	"Defi100 is a aynthetic index token based on the principle of elastic supply. Powered by decentralized oracles to provide the most accurate feeds for the rebase, DEFI100 is a synthetic asset on Binance Smart Chain pegged to DEFI."	0.03	0.000002		72		107022
121	DEFI 100 (D100)	D100	"Defi100 is a aynthetic index token based on the principle of elastic supply. Powered by decentralized oracles to provide the most accurate feeds for the rebase, DEFI100 is a synthetic asset on Binance Smart Chain pegged to DEFI."	0.03	0.000002		72		107022
122	Oceans Finance v2 (Oceansv2)	Oceansv2	Oceans Finance is a decentralized financial asset which rewards users with a sustainable fixed compound interest model through use of it’s unique Rebase protocol.	0	0		70		738276
123	Taco (TACO)	TACO	Taco Finance is a yield farming project on BSC.	0	0		64		79379
124	GrowMoon (GM)	GM	GrowMoon is the first of its kind to introduce a financial utility in the form of 'micro-transactions' taking place for all users within the app.	0.02	0.000001		60		23572
125	GrowMoon (GM)	GM	GrowMoon is the first of its kind to introduce a financial utility in the form of 'micro-transactions' taking place for all users within the app.	0.02	0.000001		60		23572
126	SPORTOKEN (SPT)	SPT	Sportoken birth by fans to be a community driven MeMe token for Sport & E-sport with power of decentralization.	0	0		52		335580
127	Pearl Token (PEARL)	PEARL	"Cryptobay is a play-to-earn metaverse game platform on BSC. Users can buy and build ships, fight against pirates in adventure, fight against players in arena, participate in boss battles, build their own harbors, recruit captains and raise pets."	0	0		47		86688
128	Encyclopedia wTa (ENCwTa)	ENCwTa	Encyclopedia Coin is built on the Binance Smart Chain network. It is a Web 3.0 supported direct information transfer project and is a member of the Metaverse family.	0.01	0		44		36172
129	Krabots (KRAC)	KRAC	"Krabots is the ultimate auto-combat robot fighting game. Users play as Krasers to collect NFT robot parts, assemble and upgrade their ultimate Krabot, and defeat an opponent to move on in the Krabots tournament."	0.02	0.000001		28		1914829
130	HASH (HASH)	HASH	"HASH is a utility BEP-20 and ERC-20 token and fuel of Hashbon FiRe crypto payment ecosystem powered by both DeFi and CeFi products. In September 2021, Hashbon introduced the Hashbon Rocket CDEX platform that enables cross-chain token swaps in a DeFi manner."	0	0		28		2974390
