tablescraper-selected-row,u-xs-avatar src,text-primary,text-primary href,d-none,u-label,text-nowrap,small,d-block,text-danger,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,tablescraper-selected-row 5,text-success,tablescraper-selected-row 6
17,https://bscscan.com/token/images/chainlink_32.png?v=2,Binance-Peg ChainLink Token (LINK),https://bscscan.com/token/0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,"A blockchain-based middleware, acting as a bridge between cryptocurrency smart contracts, data feeds, APIs and traditional bank account payments.",Cross-Chain,$6.84 ,0.000399 BTC,0.023881 BNB,-2.55%,"$165,833,252.00 ","$3,473,420,064.00 ","$58,801,997.00 ","127,266",,
18,https://bscscan.com/token/images/cosmos_32.png,Binance-Peg Cosmos Token (ATOM),https://bscscan.com/token/0x0eb3a705fc54725037cc9e008bdede697f62f335,"Cosmos is a decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint consensus.",Cross-Chain,$9.69 ,0.000566 BTC,0.033859 BNB,-0.98%,"$91,077,730.00 ","$2,776,116,725.00 ","$18,418,886.00 ","48,296",,
19,https://bscscan.com/token/images/ethclassic_32.png?v=1,Binance-Peg Ethereum Classic (ETC),https://bscscan.com/token/0x3d6545b08693dae087e957cb1180ee38b9e3c25e,"Ethereum Classic (ETC) is a hard fork of Ethereum (ETH) that launched in July 2016. Its main function is as a smart contract network, with the ability to host and support decentralized applications (DApps). Its native token is ETC.",Cross-Chain,$19.04 ,0.001112 BTC,0.066506 BNB,-0.50%,"$95,362,801.00 ","$2,633,703,143.00 ","$15,232,971.00 ","28,568",,
20,https://bscscan.com/token/images/bittorrent_32.png,Binance-Peg BitTorrent Token (BTT),https://bscscan.com/token/0x8595f9da7b868b1822194faed312235e43007b49,BitTorrent is a popular peer-to-peer (P2P) file sharing and torrent platform.,Binance Peg,$0.00 ,0.000000 BTC,0.000009 BNB,,"$1,048,627.00 ","$2,517,192,710.00 ","$5,181,956.00 ","78,571",1.38%,
21,https://bscscan.com/token/images/bitcoincash_32.png,Binance-Peg Bitcoin Cash Token (BCH),https://bscscan.com/token/0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,Bitcoin ABC is an electronic cash platform that allows peer-to-peer online cash payments. It is a fork (a copy in a way) of Bitcoin (BTC).,Cross-Chain,$109.33 ,0.006384 BTC,0.381856 BNB,-2.35%,"$133,177,723.00 ","$2,104,759,211.00 ","$9,456,975.00 ","16,218",,
22,https://bscscan.com/token/images/near_32.png,Binance-Peg NEAR Protocol (NEAR),https://bscscan.com/token/0x1fa4a73a3f0133f0025378af00236f3abdee5d63,"NEAR Protocol is a decentralized application platform designed to make apps usable on the web. The network runs on a Proof-of-Stake (PoS) consensus mechanism called Nightshade, which aims to offer scalability and stable fees.",Cross-Chain,$1.69 ,0.000099 BTC,0.005899 BNB,-0.90%,"$50,903,430.00 ","$1,410,728,113.00 ","$11,652,823.00 ","36,349",,
23,https://bscscan.com/token/images/eos_32.png,Binance-Peg EOS Token (EOS),https://bscscan.com/token/0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,EOS is a cryptocurrency token and blockchain that operates as a smart contract platform for the deployment of decentralized applications and decentralized autonomous corporations.,Cross-Chain,$1.04 ,0.000061 BTC,0.003626 BNB,,"$223,308,735.00 ","$1,117,491,314.00 ","$14,367,051.00 ","37,997",4.05%,
24,https://bscscan.com/token/images/trust_32.png?v=1,Trust Wallet (TWT),https://bscscan.com/token/0x4b0f1812e5df2a09796481ff14017e6005508003,Utility token to increase adoption of cryptocurrency.,Cross-Chain,$2.60 ,0.000152 BTC,0.009072 BNB,-2.60%,"$77,914,317.00 ","$1,082,204,359.00 ","$2,597,394,980.00 ","298,687",,
25,https://bscscan.com/token/images/elrond_32.png?v=2,Binance-Peg Elrond Token (EGLD),https://bscscan.com/token/0xbf7c81fff98bbe61b40ed186e4afd6ddd01337fe,"Elrond is a blockchain protocol that seeks to offer extremely fast transaction speeds by using sharding. The project describes itself as a technology ecosystem for the new internet, which includes fintech, decentralized finance and the Internet of Things.",Cross-Chain,$45.00 ,0.002628 BTC,0.157184 BNB,-0.46%,"$29,032,166.00 ","$1,071,164,267.00 ","$13,501,010.00 ","31,454",,
26,https://bscscan.com/token/images/onflow_32.png,Binance-Peg FLOW Token (FLOW),https://bscscan.com/token/0xc943c5320b9c18c153d1e2d12cc3074bebfb31a2,"Flow is a layer-1 blockchain that aims to be fast, decentralized, and developer-oriented. It is designed as the foundation to power games, apps, and the associated digital assets.",Binance Peg,$1.02 ,0.000060 BTC,0.003573 BNB,-1.66%,"$38,792,997.00 ","$1,059,891,864.00 ","$3,376,002.00 ","4,421",,
27,https://bscscan.com/token/images/frax_32.png,Frax (FRAX),https://bscscan.com/token/0x90c97f71e18723b0cf0dfa30ee176ab653e89f40,"Frax is a fractional-algorithmic stablecoin protocol. It aims to provide a highly scalable, decentralized, algorithmic money in place of fixed-supply assets like BTC. Additionally, FXS is the value accrual and governance token of the entire Frax ecosystem.",,$1.00 ,0.000059 BTC,0.003500 BNB,,"$6,504,099.00 ","$1,024,928,821.00 ","$1,036,119.00 ",736,0.19%,
28,https://bscscan.com/token/images/paxos_32.png,Binance-Peg Paxos Standard (PAX),https://bscscan.com/token/0xb7f8cd00c5a06c0537e2abff0b58033d02e5e094,Paxos Standard (PAX) is a stablecoin that allows users to exchange US dollars for Paxos Standard Tokens to 'transact at the speed of the internet'.,Cross-Chain,$1.00 ,0.000058 BTC,0.003492 BNB,,"$127,525,140.00 ","$918,323,105.00 ","$3,571,572.00 ","1,013",0.01%,
29,https://bscscan.com/token/images/axieinfinity_32.png,Binance-Peg Axie Infinity Shard Token (AXS),https://bscscan.com/token/0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Axie Infinity is a Pokémon-inspired digital pet universe where anyone can earn tokens through skilled gameplay and contributions to the ecosystem. Players can battle, collect, raise, and build a land-based kingdom for their pets (known as Axies).",Cross-Chain,$8.06 ,0.000471 BTC,0.028151 BNB,-2.22%,"$107,699,166.00 ","$916,953,130.00 ","$9,752,600.00 ","78,394",,
30,https://bscscan.com/token/images/btcb_32.png,Binance-Peg BTCB Token (BTCB),https://bscscan.com/token/0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,"Bitcoin BEP2 (BTCB) is a token on Binance Chain issued by Binance, where the price is pegged to BTC at a rate of 1 BTCB = 1 BTC.",Cross-Chain,"$17,121.30 ",0.999827 BTC,59.799876 BNB,-0.59%,"$2,550,165.00 ","$914,292,106.00 ","$1,035,855,919.00 ","518,167",,
31,https://bscscan.com/token/images/tezos_32.png,Binance-Peg Tezos Token (XTZ),https://bscscan.com/token/0x16939ef78684453bfdfb47825f8a5f714f12623a,"Tezos is a smart contract platform that uses blockchain voting to be self-governing by its token holders. Also, the platform aims to boost the security of smart contracts.",Cross-Chain,$0.98 ,0.000057 BTC,0.003435 BNB,-1.73%,"$12,405,288.00 ","$903,904,514.00 ","$4,818,881.00 ","18,426",,
32,https://bscscan.com/token/images/chain-bnb_32.png,Chain (XCN),https://bscscan.com/token/0x7324c7c0d95cebc73eea7e85cbaac0dbdf88a05b,Chain is a cloud blockchain protocol that enables organizations to build better financial services from the ground up powered by Sequence and Chain Cloud.,,$0.04 ,0.000002 BTC,0.000138 BNB,,"$23,798,154.00 ","$847,899,767.00 ","$16,779,855.00 ","5,660",2.74%,
33,https://bscscan.com/token/images/paxdollar_32.png,Binance-Peg Pax Dollar Token (USDP),https://bscscan.com/token/0xb3c11196a4f3b1da7c23d9fb0a3dde9c6340934f,Pax Dollar (USDP) is a digital dollar redeemable one-to-one for US dollars and regulated by the New York Department of Financial Services.,Binance Peg,$1.00 ,0.000058 BTC,0.003490 BNB,-0.04%,"$1,662,136.00 ","$766,878,338.00 ","$2,426,105.00 ",567,,
34,https://bscscan.com/token/images/trueusd_32.png,Binance-Peg TrueUSD Token (TUSD),https://bscscan.com/token/0x14016e85a25aeb13065688cafb43044c2ef86784,"TUSD is a regulated, exchange-independent stablecoin backed 1-for-1 with US Dollars.",Binance Peg,$1.00 ,0.000058 BTC,0.003493 BNB,,"$32,151,451.00 ","$757,406,479.00 ","$113,000,000.00 ","13,144",0.13%,
35,https://bscscan.com/token/images/zcash_32.png,Binance-Peg Zcash Token (ZEC),https://bscscan.com/token/0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb,Zcash (ZEC) is a decentralized and open-source privacy-focused cryptocurrency that enables selective transparency of transactions. Zcash transactions can either be transparent or shielded through a zero-knowledge proof called zk-SNARKs.,Cross-Chain,$45.66 ,0.002666 BTC,0.159463 BNB,,"$27,778,245.00 ","$725,074,243.00 ","$4,565,580.00 ","6,231",1.59%,
36,https://bscscan.com/token/images/usdd-tron_32.png,Decentralized USD (USDD),https://bscscan.com/token/0xd17479997F34dd9156Deef8F95A52D81D265be9c,USDD is a fully decentralized over-collateralization stablecoin.,,$0.98 ,0.000057 BTC,0.003409 BNB,,"$363,164,700.00 ","$707,972,639.00 ","$107,922,069.00 ","3,139",0.02%,
37,https://bscscan.com/token/images/snx_32.png,Binance-Peg Synthetix Network Token (SNX),https://bscscan.com/token/0x9ac983826058b8a9c7aa1c9171441191232e8404,Synthetix is a derivatives liquidity protocol on Ethereum that enables the issuance and trading of synthetic assets.,Cross-Chain,$2.93 ,0.000171 BTC,0.010236 BNB,,"$78,134,062.00 ","$684,978,265.00 ","$3,223,886.00 ","9,631",5.79%,
38,https://bscscan.com/token/images/bittorrent_32.png,BitTorrent (BTT),https://bscscan.com/token/0x352Cb5E19b12FC216548a2677bD0fce83BaE434B,"BTT is the official token of BitTorrent Chain, mapped from BitTorrent Chain at a ratio of 1:1. BitTorrent Chain is a brand-new heterogeneous cross-chain interoperability protocol, which leverages sidechains for the scaling of smart contracts.",,$0.00 ,0.000000 BTC,0.000000 BNB,-0.67%,"$17,742,144.00 ","$643,968,437.00 ","$24,942,962.00 ","29,201",,
39,https://bscscan.com/token/images/ftm_32.png?=v2,Fantom (FTM),https://bscscan.com/token/0xad29abb318791d579433d831ed122afeaf29dcfe,Fantom is a directed acyclic graph (DAG) smart contract platform providing decentralized finance (DeFi) services to developers using its own bespoke consensus algorithm.,,$0.24 ,0.000014 BTC,0.000834 BNB,,"$109,833,913.00 ","$607,518,802.00 ","$9,812,995.00 ","76,027",0.74%,
40,https://bscscan.com/token/images/makerdao_32.png,Binance-Peg Maker (MKR),https://bscscan.com/token/0x5f0da599bb2cccfcf6fdfd7d81743b6020864350,Maker is a Decentralized Autonomous Organization that creates and insures the dai stablecoin on the Ethereum blockchain,Cross-Chain,$610.79 ,0.035668 BTC,2.133312 BNB,-1.79%,"$15,462,526.00 ","$597,125,831.00 ","$3,053,943.00 ","4,035",,
41,https://bscscan.com/token/images/paxosgold_32.png,Binance-Peg PAX Gold (PAXG),https://bscscan.com/token/0x7950865a9140cb519342433146ed5b40c6f210f7,"PAX Gold (PAXG) tokens each represent one fine troy ounce of an LBMA-certified, London Good Delivery physical gold bar, secured in Brink’s vaults.",Cross-Chain,"$1,790.89 ",0.104582 BTC,6.255064 BNB,,"$8,158,585.00 ","$582,412,712.00 ","$537,266.00 ",2,0.20%,
42,https://bscscan.com/token/images/miota_32.png?=v1,MIOTAC (IOTA),https://bscscan.com/token/0xd944f1d1e9d5f9bb90b62f9d45e447d989580782,"IOTA is a distributed ledger with its proprietary technology known as Tangle, a system of nodes that confirm transactions. It aims to offer greater speeds than conventional blockchains and an ideal footprint for the ever-expanding Internet of Things ecosystem.",,$0.21 ,0.000012 BTC,0.000719 BNB,-0.86%,"$10,256,953.00 ","$572,470,969.00 ","$5,334,472.00 ","21,631",,
43,https://bscscan.com/token/images/ecash_32.png,Binance-Peg eCash Token (XEC),https://bscscan.com/token/0x0ef2e7602add1733bfdb17ac3094d0421b502ca3,"eCash is the natural continuation of the Bitcoin Cash project. eCash follows through on key promises such as the innovative Avalanche consensus layer while also introducing concepts such as staking, fork-free network upgrades, and subchains.",Binance Peg,$0.00 ,0.000000 BTC,0.000000 BNB,-0.10%,"$4,246,075.00 ","$565,817,592.00 ","$1,083,705.00 ","7,296",,
44,https://bscscan.com/token/images/fraxfinanceshare_32_2.png?v=3,Frax Share (FXS),https://bscscan.com/token/0xe48a3d7d0bc88d552f730b62c006bc925eadb9ee,"FXS is the value accrual and governance token of the entire Frax ecosystem. Frax is a fractional-algorithmic stablecoin protocol. It aims to provide highly scalable, decentralized, algorithmic money in place of fixed-supply assets like BTC.",,$6.08 ,0.000355 BTC,0.021236 BNB,,"$4,920,385.00 ","$438,306,770.00 ","$510,629.00 ",718,1.73%,
45,https://bscscan.com/token/images/zilliqa_32.png,Zilliqa (ZIL),https://bscscan.com/token/0xb86abcb37c3a4b64f74f59301aff131a1becc787,Zilliqa (ZIL) is a public blockchain built on a sharded architecture. It has solved blockchain scalability and speed by implementing sharding.,Cross-Chain,$0.02 ,0.000001 BTC,0.000078 BNB,,"$17,451,672.00 ","$377,046,665.00 ","$3,290,152.00 ","37,655",0.10%,
46,https://bscscan.com/token/images/1inch_32.png,1INCH Token (1INCH),https://bscscan.com/token/0x111111111117dc0aa78b770fa6a738034120c302,1inch is a decentralized exchange aggregator that sources liquidity from various exchanges and is capable of splitting a single trade transaction across multiple DEXs. Smart contract technology empowers this aggregator enabling users to optimize and customize their trades.,,$0.44 ,0.000026 BTC,0.001541 BNB,-1.73%,"$16,821,327.00 ","$336,479,058.00 ","$11,032,175.00 ","99,311",,
47,https://bscscan.com/token/images/bat_32.png,Binance-Peg Basic Attention Token (BAT),https://bscscan.com/token/0x101d82428437127bf1608f699cd651e6abf9766e,The Basic Attention Token is the new token for the digital advertising industry.,Cross-Chain,$0.22 ,0.000013 BTC,0.000780 BNB,-1.17%,"$19,545,959.00 ","$333,333,022.00 ","$5,586,258.00 ","22,857",,
48,https://bscscan.com/token/images/compound_32.png?v1,Binance-Peg Compound Coin (COMP),https://bscscan.com/token/0x52ce071bd9b1c4b00a0b92d298c512478cad67e8,"Compound (COMP) is an ERC-20 asset that powers the community governance of the Compound protocol; COMP token-holders and their delegates debate, propose, and vote on changes to the protocol.",Cross-Chain,$38.91 ,0.002272 BTC,0.135917 BNB,,"$22,408,162.00 ","$282,797,361.00 ","$1,945,723.00 ","12,941",0.95%,
49,https://bscscan.com/token/images/yfi_32.png,Binance-Peg yearn.finance (YFI),https://bscscan.com/token/0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,"Yearn.finance is an aggregator service for decentralized finance (DeFi) investors, using automation to allow them to maximize profits from yield farming.",Cross-Chain,"$6,891.49 ",0.402440 BTC,24.070036 BNB,-1.54%,"$18,890,703.00 ","$252,488,567.00 ","$6,202,343.00 ","7,360",,
50,https://bscscan.com/token/images/stepngmt_32.png,Green Metaverse Token (GMT),https://bscscan.com/token/0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1,"STEPN is a “Web3 lifestyle app” with GameFi elements on the Solana blockchain. It combines aspects of a play-to-earn game with a fitness app to create a new category coined “move-to-earn.” Users buy NFT sneakers, which they can use to earn in-game currency while walking, running, or jogging.",,$0.40 ,0.000023 BTC,0.001402 BNB,-1.80%,"$32,604,056.00 ","$240,913,520.00 ","$17,883,716.00 ","91,511",,
51,https://bscscan.com/token/images/terra-ust_32.png,Wrapped USTC Token (USTC),https://bscscan.com/token/0x23396cf899ca06c4472205fc903bdb4de249d6fc,,Cross-Chain,$0.02 ,0.000001 BTC,0.000082 BNB,-4.22%,"$42,337,440.00 ","$229,565,421.00 ","$2,237,024.00 ","82,271",,
52,https://bscscan.com/token/images/iotex_32.png,Binance-Peg IoTeX Network (IOTX),https://bscscan.com/token/0x9678e42cebeb63f23197d726b29b1cb20d0064e5,"Building the Internet of Trusted Things -- Blockchain, IoT, & Privacy.",Cross-Chain,$0.02 ,0.000001 BTC,0.000080 BNB,-0.04%,"$3,519,178.00 ","$217,974,061.00 ","$9,298,544.00 ","37,098",,
53,https://bscscan.com/token/images/ankr_32.png,Ankr (ANKR),https://bscscan.com/token/0xf307910a4c7bbc79691fd374889b36d8531b08e3,Web3 Infrastructure for All,Cross-Chain,$0.02 ,0.000001 BTC,0.000073 BNB,-0.55%,"$11,001,934.00 ","$201,864,057.00 ","$208,906,301.00 ","39,204",,
54,https://bscscan.com/token/images/just_32.png,JUST (JST),https://bscscan.com/token/0xea998d307aca04d4f0a3b3036aba84ae2e409c0a,JUST is a (DeFi) ecosystem built for the TRON blockchain. It is an entire suite of products that are mostly centered around a decentralized stablecoin lending platform known as JustStable.,,$0.02 ,0.000001 BTC,0.000079 BNB,-0.44%,"$39,790,649.00 ","$201,806,124.00 ","$566,610.00 ",879,,
55,https://bscscan.com/token/images/galagames_32.png,pTokens GALA (GALA),https://bscscan.com/token/0x7ddee176f665cd201f93eede625770e2fd911990,"Gala Games is dedicated to decentralizing the multi-billion dollar gaming industry by giving players access to their in-game items. Coming from the Co-founder of Zynga and some of the creative minds behind Farmville 2, Gala Games aims to revolutionize gaming.",,$0.03 ,0.000002 BTC,0.000090 BNB,-1.97%,"$63,310,013.00 ","$194,304,065.00 ","$1,445,366,537.00 ","74,647",,
56,https://bscscan.com/token/images/venus-vbtc_32.png,Venus BTC (vBTC),https://bscscan.com/token/0x882c173bc7ff3b7786ca16dfed3dfffb9ee7847b,Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.,,$870.45 ,0.050832 BTC,3.040247 BNB,-2.56%,$0.00 ,"$179,170,589.00 ","$559,549,900.00 ","10,359",,
57,https://bscscan.com/token/images/babydoge_32.png,Baby Doge Coin (BabyDoge),https://bscscan.com/token/0xc748673057861a797275CD8A068AbB95A902e8de,"BabyDoge has learned a few tricks and lessons from his meme father, Doge. He is Hyper-deflationary with a smart staking system built-in. Simply hold while every network transaction in the ecosystem has a 5% fee that is redistributed to the holders.",Cross-Chain,$0.00 ,0.000000 BTC,0.000000 BNB,,"$1,772,337.00 ","$178,979,636.00 ","$462,000,000.00 ","1,646,108",3.16%,
58,https://bscscan.com/token/images/ontology_32.png,Binance-Peg Ontology Token (ONT),https://bscscan.com/token/0xfd7b3a77848f1c2d67e05e54d78d174a0c850335,Ontology is a new high-performance public blockchain project & a distributed trust collaboration platform that include a series of complete distributed ledgers and smart contract systems.,Cross-Chain,$0.18 ,0.000011 BTC,0.000630 BNB,-0.75%,"$12,555,649.00 ","$157,909,642.00 ","$3,409,876.00 ","12,573",,
59,https://bscscan.com/token/images/safepalvw_32.png,SafePal Token (SFP),https://bscscan.com/token/0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,SafePal is a cryptocurrency wallet that helps users to protect and grow their decentralized assets.,,$0.46 ,0.000027 BTC,0.001610 BNB,-3.49%,"$15,978,421.00 ","$149,565,413.00 ","$230,524,745.00 ","156,559",,
60,https://bscscan.com/token/images/safemoon2_32.png,SafeMoon (SFM),https://bscscan.com/token/0x42981d0bfbAf196529376EE702F2a9Eb9092fcB5,Safemoon protocol aims to create a self-regenerating automatic liquidity providing protocol that would pay out static rewards to holders and penalize sellers.,,$0.00 ,0.000000 BTC,0.000001 BNB,-0.65%,"$359,616.00 ","$134,785,081.00 ","$240,380,000.00 ","701,387",,
61,https://bscscan.com/token/images/apenfttron_32.png,APENFT (NFT),https://bscscan.com/token/0x20ee7b720f4e4c4ffcb00c4065cdae55271aecca,"APENFT Fund was born with the mission to register world-class artworks as NFTs on blockchain and aim to be the ARK Funds in the NFT space to build a bridge between top-notch artists and blockchain, and to support the growth of native crypto NFT artists. Mapped from TRON network.",,$0.00 ,0.000000 BTC,0.000000 BNB,-0.04%,"$17,653,885.00 ","$130,320,505.00 ","$266,459.00 ","11,622",,
62,https://bscscan.com/token/images/apenft_32.png,Binance-Peg APENFT Token (NFT),https://bscscan.com/token/0x1fc9004ec7e5722891f5f38bae7678efcb11d34d,"APENFT was born with the mission to register world-class artworks as NFTs on blockchain.
It aims to build a bridge between top-notch artists and blockchain, and to support the growth of native crypto NFT artists.",Binance Peg,$0.00 ,0.000000 BTC,0.000000 BNB,-0.04%,"$17,653,885.00 ","$130,320,505.00 ","$1,984,774.00 ","181,641",,
